username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,Search_Term
,1/13/2015 16:57,0,0,"McCoy's Log: My father had a terrible accident with a piece of farm equipment shortly after my second youngest brother Orin"" was born.""",,,,5.55E+17,https://twitter.com/zootMcNutt/status/555136534815309824,Farm Equipment Accident
,1/7/2015 20:14,0,1,CHP responding to injury accident near intersection of Stuhr Rd. and Villa Manucha. Car versus farm equipment.,,,,5.53E+17,https://twitter.com/mattosnews/status/553011770562867200,Farm Equipment Accident
,12/28/2014 14:50,0,4,It's not a family gathering if there's not alcohol,,,,,,Farm Equipment Accident
,11/25/2014 18:00,0,0,@ElizabethhErin he got in an accident with farm equipment & was hurt really bad. in surgery.,,@ElizabethhErin,,5.37E+17,https://twitter.com/em_waddell13/status/537395510911332352,Farm Equipment Accident
,11/25/2014 12:40,0,0,Woman involved in farm equipment accident remains listed in satisfactory condition at Strong: http://mpnnow.com/article/20141125/NEWS/141129815 …,,,,5.37E+17,https://twitter.com/aselahcurtis/status/537314829699399680,Farm Equipment Accident
,11/21/2014 14:57,0,0,Update: Semi collides with tractor hauling farm equipment in U.S. Highway 71 accident http://bit.ly/1yAcvSz ,,,,5.36E+17,https://twitter.com/wctrib/status/535899743793065984,Farm Equipment Accident
,11/21/2014 10:59,0,1,#SaukCentreMN man airlifted to hospital after highway accident involving farm equipment. http://on.sctimes.com/1vwB71u ,,,#SaukCentreMN,5.36E+17,https://twitter.com/sctimes/status/535839957169209344,Farm Equipment Accident
,11/14/2014 13:43,0,0,Illinois car accident involving farm equipment proves fatal: In many areas where farming and agriculture are w... http://bit.ly/116PLOX ,,,,5.33E+17,https://twitter.com/InjuredChicago/status/533344502098841600,Farm Equipment Accident
,11/11/2014 6:56,0,0,Die in a helicopter accident in Afghanistan,,,,,,Farm Equipment Accident
,11/3/2014 10:56,0,0,Pickup and combine auto accident claims life of Illinois driver: Accidents that involve large farm equipment a... http://bit.ly/1x0PmIf ,,,,5.29E+17,https://twitter.com/Law_Illinois/status/529316122173005824,Farm Equipment Accident
,10/20/2014 14:55,0,0,**CRASH** Tammy says Bad accident on Bruce road 10 at the Roberts farm equipment intersection. Police,,,,,,Farm Equipment Accident
,10/20/2014 9:57,0,0,Maria Stein teenager injured in accident involving farm equipment http://bit.ly/1wjNfip  http://fb.me/3nTOItpfW ,,,,5.24E+17,https://twitter.com/WCSMRadio/status/524212776844410880,Farm Equipment Accident
,10/10/2014 16:29,1,3,Wait for the farm equipment please. Just saw a stupid accident about to happen. #urbanmessage,,,#urbanmessage,5.21E+17,https://twitter.com/waynekblack/status/520687567394840577,Farm Equipment Accident
,10/5/2014 11:34,0,0,las vegas Car strikes farm equipment in Lower Valley: Yakima Herald-Republic HARRAH,,,,,,Farm Equipment Accident
,10/5/2014 7:58,0,0,Driver Injured in Car vs Farm Equipment Accident in #Yakima County http://ow.ly/Cif6Y  @KAPPKVEWpic.twitter.com/Q07bMTFEN8,,@KAPPKVEWpic,#Yakima,5.19E+17,https://twitter.com/DanKAPPKVEW/status/518747004126515200,Farm Equipment Accident
,9/29/2014 0:33,4,0,An 8 year old girl is dead & her 11 year old friend is critical after an accident involving farm equipment in Co Cork #Tv3News,,,#Tv3News,5.16E+17,https://twitter.com/PaulByrne_1/status/516460804057882624,Farm Equipment Accident
,9/21/2014 16:15,0,0,Attica Man Killed in Alexander Farm Equipment Accident http://bit.ly/1sSJ2ij  #ROC #ROCBuzz,,,#ROC #ROCBuzz,5.14E+17,https://twitter.com/rocbuzz/status/513798579979173888,Farm Equipment Accident
,9/21/2014 16:04,0,0,Attica Man Killed in Alexander Farm Equipment Accident: An Attica man died Saturday after an accident involving a... http://dlvr.it/6zBZM4 ,,,,5.14E+17,https://twitter.com/rochesternybuzz/status/513795821536411649,Farm Equipment Accident
,9/21/2014 0:13,0,0,Man Killed in Alexander Farm Equipment Accident: A man was killed in an incident with a hay baler Saturday night. http://dlvr.it/6ytKmk ,,,,5.14E+17,https://twitter.com/rochesternybuzz/status/513556618122756098,Farm Equipment Accident
,9/20/2014 23:50,0,0,Man killed in Alexander farm equipment accident http://bit.ly/1wUcJX1 pic.twitter.com/llsSVuZkwi,,,,5.14E+17,https://twitter.com/SPECNewsROC/status/513550873121677313,Farm Equipment Accident
,9/15/2014 13:54,0,0,Man killed in farm equipment accident: HORTON,,,,,,Farm Equipment Accident
,9/2/2014 13:51,0,0,Wyoming County Man,,,,,,Farm Equipment Accident
,8/19/2014 7:18,0,0,Berry harvester accident.6 workers injured.Always check key parts of your #farm #equipment before use. http://www.kgw.com/story/news/local/2014/08/18/sandy-berry-harvester-flips-injuring-six/14249631/ …,,,#farm #equipment,5.02E+17,https://twitter.com/WalnutKitchenHS/status/501704840318164992,Farm Equipment Accident
,8/18/2014 18:03,1,0,Names not provided for 6 injured #farmworkers in farm equipment accident in Sandy,,,,,,Farm Equipment Accident
,8/18/2014 17:44,0,0,6 injured in farm equipment accident in Sandy http://ift.tt/1o78jCJ  #portland,,,#portland,5.02E+17,https://twitter.com/AgentPortland/status/501500026586415105,Farm Equipment Accident
,8/18/2014 16:26,2,0,6 injured in farm equipment accident in Sandy http://k2ne.ws/1pWI0TX  #LiveOnK2pic.twitter.com/4saiFLlH9L,,,#LiveOnK2pic,5.01E+17,https://twitter.com/KATUNews/status/501480286748565504,Farm Equipment Accident
,8/15/2014 15:10,3,1,8-year-old injured in farm equipment accident in Seneca County is recovering,,,,,,Farm Equipment Accident
,8/9/2014 14:07,0,0,@JennyMcCarthy wouldn't care if you got mangled in an accident involving farm equipment.. i'd still chase!,,@JennyMcCarthy,,4.98E+17,https://twitter.com/lykum1/status/498183690137395201,Farm Equipment Accident
,7/30/2014 10:13,0,0,Man #Killed in #Farm #Equipment #Accident http://wnep.com/2014/07/29/man-killed-in-farm-equipment-accident/ … http://fb.me/71utkbnT0 ,,,#Killed #Farm #Equipment #Accident,4.95E+17,https://twitter.com/USMWF/status/494500956495937536,Farm Equipment Accident
,7/15/2014 20:40,0,0,@jonfeng1 I mean,,,,,,Farm Equipment Accident
,7/12/2014 17:00,0,0,Tune in for @NBC12 News at 6! We start off with a man airlifted in Powhatan after a traumatic farm equipment accident,,@NBC12,,4.88E+17,https://twitter.com/MikevWUSA/status/488080383947182080,Farm Equipment Accident
,7/7/2014 13:29,0,0,Carmelo Rivera dies in accident with farm equipment in Bergen http://bit.ly/1kwRwrK ,,,,4.86E+17,https://twitter.com/newyorkfma/status/486215412711821312,Farm Equipment Accident
,7/4/2014 15:42,0,0,I'm having a hard time watching these farm equipment accident scenes. *squicked out* *shudder* #Emmerdale,,,#Emmerdale,4.85E+17,https://twitter.com/JennyFey1234/status/485161730452910080,Farm Equipment Accident
,6/17/2014 13:18,0,0,No One Hurt in Semi vs. Farm Equipment Accident http://bit.ly/1lw1uyT ,,,,4.79E+17,https://twitter.com/WVUTPBS/status/478964997989494784,Farm Equipment Accident
,6/17/2014 9:37,0,0,No one injured in semi vs. farm equipment accident this morning on US-41. Details at http://bit.ly/1lxsvw6 pic.twitter.com/vFiTjN2slj,,,,4.79E+17,https://twitter.com/WVUB/status/478909346814783488,Farm Equipment Accident
,6/12/2014 8:29,0,0,Accident involving farm equipment and a semi just south of South Bloomfield on SB US 23.,,,,4.77E+17,https://twitter.com/mbruning81/status/477080315421548544,Farm Equipment Accident
,5/29/2014 13:40,0,0,Gowanda school bus involved in accident with farm equipment http://www.buffalonews.com/city-region/cattaraugus-county/gowanda-school-bus-involved-in-accident-with-farm-equipment-20140529 …,,,,4.72E+17,https://twitter.com/TheBuffaloNews/status/472084989819908096,Farm Equipment Accident
,5/26/2014 13:08,0,0,The backs of my heels legitimately look like my feet were caught in some sort of tragic farm-equipment accident.,,,,4.71E+17,https://twitter.com/criseyde/status/470989840008232960,Farm Equipment Accident
,5/20/2014 15:41,0,0,Accident on S. Hwy 61 and 67th Ave. S involving a car and farm equipment. MPD on scene.,,,,4.69E+17,https://twitter.com/SBTisinger/status/468853931615858688,Farm Equipment Accident
,5/20/2014 9:04,0,0,Damn you cecil county and your farm equipment. First real accident today.,,,,4.69E+17,https://twitter.com/Britani_Alexis/status/468754116173242368,Farm Equipment Accident
,5/2/2014 11:31,0,0,Fuck I'm sick of people moving oversize farm equipment with no lights or pilot vehicles. One day there is going to be a MASSIVE accident,,,,4.62E+17,https://twitter.com/truckeryako/status/462268256732999680,Farm Equipment Accident
,4/25/2014 13:11,0,2,Why can't people respect farm equipment,,,,,,Farm Equipment Accident
,4/24/2014 20:44,0,0,WCIA-TV: WCIA is on the scene of a train vs. farm equipment accident near Savoy. We will... http://dlvr.it/5TqZ48 ,,,,4.60E+17,https://twitter.com/ILNewsNetwork/status/459508138333315072,Farm Equipment Accident
